"time" "S" "E" "I" "R"
"559062" 560 125 0 0 1176
"560062" 561 125 0 0 1176
"561062" 562 125 0 0 1176
"562062" 563 125 0 0 1176
"563062" 564 125 0 0 1176
"564062" 565 125 0 0 1176
"565062" 566 125 0 0 1176
"566062" 567 125 0 0 1176
"567062" 568 125 0 0 1176
"568062" 569 125 0 0 1176
"569062" 570 125 0 0 1176
"570062" 571 125 0 0 1176
"571062" 572 125 0 0 1176
"572062" 573 125 0 0 1176
"573062" 574 125 0 0 1176
"574062" 575 125 0 0 1176
"575062" 576 125 0 0 1176
"576062" 577 125 0 0 1176
"577062" 578 125 0 0 1176
"578062" 579 125 0 0 1176
"579062" 580 125 0 0 1176
"580062" 581 125 0 0 1176
"581062" 582 125 0 0 1176
"582062" 583 125 0 0 1176
"583062" 584 125 0 0 1176
"584062" 585 125 0 0 1176
"585062" 586 125 0 0 1176
"586062" 587 125 0 0 1176
"587062" 588 125 0 0 1176
"588062" 589 125 0 0 1176
"589062" 590 125 0 0 1176
"590062" 591 125 0 0 1176
"591062" 592 125 0 0 1176
"592062" 593 125 0 0 1176
"593062" 594 125 0 0 1176
"594062" 595 125 0 0 1176
"595062" 596 125 0 0 1176
"596062" 597 125 0 0 1176
"597062" 598 125 0 0 1176
"598062" 599 125 0 0 1176
"599062" 600 125 0 0 1176
"600062" 601 125 0 0 1176
"601062" 602 125 0 0 1176
"602062" 603 125 0 0 1176
"603062" 604 125 0 0 1176
"604062" 605 125 0 0 1176
"605062" 606 125 0 0 1176
"606062" 607 125 0 0 1176
"607062" 608 125 0 0 1176
"608062" 609 125 0 0 1176
"609062" 610 125 0 0 1176
"610062" 611 125 0 0 1176
"611062" 612 125 0 0 1176
"612062" 613 125 0 0 1176
"613062" 614 125 0 0 1176
"614062" 615 125 0 0 1176
"615062" 616 125 0 0 1176
"616062" 617 125 0 0 1176
"617062" 618 125 0 0 1176
"618062" 619 125 0 0 1176
"619062" 620 125 0 0 1176
"620062" 621 125 0 0 1176
"621062" 622 125 0 0 1176
"622062" 623 125 0 0 1176
"623062" 624 125 0 0 1176
"624062" 625 125 0 0 1176
"625062" 626 125 0 0 1176
"626062" 627 125 0 0 1176
"627062" 628 125 0 0 1176
"628062" 629 125 0 0 1176
"629062" 630 125 0 0 1176
"630062" 631 125 0 0 1176
"631062" 632 125 0 0 1176
"632062" 633 125 0 0 1176
"633062" 634 125 0 0 1176
"634062" 635 125 0 0 1176
"635062" 636 125 0 0 1176
